slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,minVoltageV,minVoltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,18.5203333333,18.5203333333,0,0.0,4.0,0.0,0.900573692182,227.17489624,0.987716940175,17.680750000000003,0.0,0.0,0.0,0.818633458958,0.818633458958
2,30.3714,30.3714,0,0.0,5.0,0.0,0.904527532769,226.423446655,0.984449768066,17.680750000000003,0.0,0.0,0.0,1.34247282638,1.34247282638
3,35.7224666667,35.7224666667,0,0.0,5.0,0.0,0.904527532769,225.511932373,0.980486662492,18.015750000000004,0.0,0.0,0.0,1.60891757213,1.60891757213
4,21.9620666667,21.9620666667,0,0.0,5.0,0.0,0.904527532769,226.611724854,0.985268368928,18.015750000000004,0.0,0.0,0.0,0.989157756375,0.989157756375
5,23.9511333333,23.9511333333,0,0.0,5.0,0.0,0.904527532769,225.089828491,0.978651428223,17.94575,0.0,0.0,0.0,1.07455262754,1.07455262754
6,23.3059333333,23.3059333333,0,0.0,7.0,0.0,0.888606665755,226.705322266,0.985675314198,17.94575,0.0,0.0,0.0,1.04560613279,1.04560613279
7,24.425,24.425,0,0.0,8.0,0.0,0.895683637137,225.814575195,0.981802500849,17.750750000000004,0.0,0.0,0.0,1.08390517188,1.08390517188
8,21.7482666667,21.7482666667,0,0.0,9.0,0.0,0.897864829932,227.105545044,0.987415413235,17.750750000000004,0.0,0.0,0.0,0.965120111333,0.965120111333
9,23.4479333333,23.4479333333,0,0.0,11.0,0.0,0.889514071774,226.507720947,0.984816178032,23.665750000000003,0.0,0.0,0.0,1.38728232071,1.38728232071
10,22.8652,22.8652,0,0.0,15.0,0.0,0.885422660217,226.175567627,0.983372033161,23.665750000000003,0.0,0.0,0.0,1.35280526725,1.35280526725
11,29.5051333333,29.5051333333,0,0.0,18.0,0.0,0.870172912229,221.745452881,0.964110664699,23.55575,0.0,0.0,0.0,1.73753886129,1.73753886129
12,31.7002,31.7002,0,0.0,19.0,0.0,0.866498768708,223.568344116,0.972036278766,23.55575,0.0,0.0,0.0,1.86680496537,1.86680496537
13,29.2382,29.2382,0,0.0,21.0,0.0,0.869921086802,223.362335205,0.971140587848,23.61575,0.0,0.0,0.0,1.72620505413,1.72620505413
14,37.3817333333,37.3817333333,0,0.0,22.0,0.0,0.867928881813,221.233459473,0.961884606403,23.61575,0.0,0.0,0.0,2.20699417242,2.20699417242
15,24.9394666667,24.9394666667,0,0.0,25.0,0.0,0.85860778457,225.435928345,0.980156210194,29.24575,0.0,0.0,0.0,1.82343351817,1.82343351817
16,27.9453333333,27.9453333333,0,0.0,27.0,0.0,0.864060180965,226.616912842,0.985290925399,29.24575,0.0,0.0,0.0,2.04320558083,2.04320558083
17,34.145,34.145,0,0.0,28.0,0.0,0.862679963671,220.196395874,0.957375634235,36.91575,0.0,0.0,0.0,3.15122070937,3.15122070937
18,48.1660666667,48.1660666667,0,0.0,29.0,0.0,0.86108841024,222.007339478,0.965249302076,36.91575,0.0,0.0,0.0,4.44521618888,4.44521618888
19,49.5196666667,49.5196666667,0,0.0,32.0,0.0,0.864594032926,221.238861084,0.961908091669,35.43075,0.0,0.0,0.0,4.38629732438,4.38629732438
20,47.2968,47.2968,0,0.0,38.0,0.0,0.858340413215,222.856872559,0.968942924168,35.43075,0.0,0.0,0.0,4.1894027415,4.1894027415
21,33.0040666667,33.0040666667,0,0.0,39.0,0.0,0.859253210837,225.566040039,0.980721913213,32.42575,0.0,0.0,0.0,2.67545403679,2.67545403679
22,34.3954666667,34.3954666667,0,0.0,39.0,0.0,0.859253210837,225.81137085,0.981788568911,32.42575,0.0,0.0,0.0,2.78824700817,2.78824700817
23,39.5904666667,39.5904666667,0,0.0,44.0,0.0,0.858168150907,225.373703003,0.97988566523,28.960750000000004,0.0,0.0,0.0,2.86642401879,2.86642401879
24,37.6009333333,37.6009333333,0,0.0,46.0,0.0,0.858377160396,225.594177246,0.980844248896,28.960750000000004,0.0,0.0,0.0,2.72237807508,2.72237807508
25,40.3171333333,40.3171333333,0,0.0,47.0,0.0,0.856416769471,225.346115112,0.97976571788,19.46075,0.0,0.0,0.0,1.96150413129,1.96150413129
26,39.9483333333,39.9483333333,0,0.0,47.0,0.0,0.856416769471,225.2215271,0.979224030868,19.46075,0.0,0.0,0.0,1.94356131979,1.94356131979
27,40.0728666667,40.0728666667,0,0.0,51.0,0.0,0.854470190221,224.426269531,0.975766389266,18.20575,0.0,0.0,0.0,1.82389148079,1.82389148079
28,39.1268666667,39.1268666667,0,0.0,53.0,0.0,0.85588665292,226.000488281,0.982610818614,18.20575,0.0,0.0,0.0,1.78083488204,1.78083488204
29,32.7916666667,32.7916666667,0,0.0,54.0,0.0,0.856421359389,226.424377441,0.984453814963,19.46075,0.0,0.0,0.0,1.59537606771,1.59537606771
30,35.6943333333,35.6943333333,0,0.0,54.0,0.0,0.856421359389,226.102767944,0.983055512801,19.46075,0.0,0.0,0.0,1.73659624354,1.73659624354
31,46.1002666667,46.1002666667,0,0.0,54.0,0.0,0.856421359389,222.043685913,0.965407330057,19.115750000000002,0.0,0.0,0.0,2.20310293133,2.20310293133
32,48.1822666667,48.1822666667,0,0.0,55.0,0.0,0.858510654868,223.220809937,0.970525260594,19.115750000000002,0.0,0.0,0.0,2.30260041008,2.30260041008
33,41.4182,41.4182,0,0.0,55.0,0.0,0.858510654868,225.2159729,0.979199882176,18.680750000000003,0.0,0.0,0.0,1.93430759913,1.93430759913
34,32.6990666667,32.6990666667,0,0.0,55.0,0.0,0.858510654868,226.21383667,0.983538420304,18.680750000000003,0.0,0.0,0.0,1.52710772408,1.52710772408
35,33.3544,33.3544,0,0.0,55.0,0.0,0.858510654868,225.611236572,0.980918419879,17.55075,0.0,0.0,0.0,1.4634868395,1.4634868395
36,35.1511333333,35.1511333333,0,0.0,55.0,0.0,0.858510654868,224.923431396,0.977927962593,17.55075,0.0,0.0,0.0,1.54232188338,1.54232188338
37,31.0791333333,31.0791333333,0,0.0,55.0,0.0,0.858510654868,225.709197998,0.981344339122,17.14575,0.0,0.0,0.0,1.33218762588,1.33218762588
38,31.4958,31.4958,0,0.0,55.0,0.0,0.858510654868,226.755889893,0.985895173446,17.14575,0.0,0.0,0.0,1.35004778213,1.35004778213
39,29.5538,29.5538,0,0.0,55.0,0.0,0.858510654868,225.698989868,0.981299955949,16.89075,0.0,0.0,0.0,1.24796461837,1.24796461837
40,29.8373333333,29.8373333333,0,0.0,55.0,0.0,0.858510654868,226.39666748,0.984333336872,16.89075,0.0,0.0,0.0,1.259937345,1.259937345
41,23.9704,23.9704,0,0.0,55.0,0.0,0.858510654868,227.178634644,0.987733194102,14.935749999999999,0.0,0.0,0.0,0.8950397545,0.8950397545
42,18.6180666667,18.6180666667,0,0.0,55.0,0.0,0.858510654868,227.366333008,0.988549273947,14.935749999999999,0.0,0.0,0.0,0.695186973042,0.695186973042
43,17.4323333333,17.4323333333,0,0.0,55.0,0.0,0.858510654868,227.792068481,0.990400297745,15.165750000000001,0.0,0.0,0.0,0.660936023125,0.660936023125
44,20.9872666667,20.9872666667,0,0.0,55.0,0.0,0.858510654868,226.319366455,0.983997245457,15.165750000000001,0.0,0.0,0.0,0.795719098625,0.795719098625
45,6.6338,6.6338,0,0.0,55.0,0.0,0.858510654868,228.33934021,0.992779740043,16.01075,0.0,0.0,0.0,0.265530283375,0.265530283375
46,8.98313333333,8.98313333333,0,0.0,55.0,0.0,0.858510654868,228.85597229,0.995025966478,16.01075,0.0,0.0,0.0,0.359566755042,0.359566755042
47,6.81953333333,6.81953333333,0,0.0,55.0,0.0,0.858510654868,229.270187378,0.996826901643,15.770750000000001,0.0,0.0,0.0,0.268872888292,0.268872888292
48,7.3016,7.3016,0,0.0,55.0,0.0,0.858510654868,228.592727661,0.993881424614,15.770750000000001,0.0,0.0,0.0,0.2878792705,0.2878792705
49,7.91146666667,7.91146666667,0,0.0,55.0,0.0,0.858510654868,229.138031006,0.996252308721,17.66075,0.0,0.0,0.0,0.349306087333,0.349306087333
50,9.35686666667,9.35686666667,0,0.0,55.0,0.0,0.858510654868,228.926651001,0.995333265222,17.66075,0.0,0.0,0.0,0.413123207458,0.413123207458
51,8.99386666667,8.99386666667,0,0.0,55.0,0.0,0.858510654868,228.92276001,0.995316347869,16.180750000000003,0.0,0.0,0.0,0.363818770167,0.363818770167
52,7.52746666667,7.52746666667,0,0.0,55.0,0.0,0.858510654868,229.10256958,0.996098128609,16.180750000000003,0.0,0.0,0.0,0.304500140667,0.304500140667
53,7.05886666667,7.05886666667,0,0.0,55.0,0.0,0.858510654868,229.156051636,0.996330659286,15.020750000000001,0.0,0.0,0.0,0.265073678708,0.265073678708
54,7.88813333333,7.88813333333,0,0.0,55.0,0.0,0.858510654868,229.033432007,0.995797530465,15.020750000000001,0.0,0.0,0.0,0.296214196917,0.296214196917
55,7.78822768828,7.38893333333,0,0.39929435495,55.0,0.0,0.858566919072,228.860641479,0.995046267302,14.82075,0.0147946045278,0.0,0.0147946045278,0.27377383425,0.288568438778
56,7.53986666667,7.53986666667,0,0.0,55.0,0.0,0.858566919072,229.120056152,0.996174157184,14.82075,0.0,0.0,0.0,0.27936619725,0.27936619725
